fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,is_red,quality
7.4,0.41,0.7,10.8,0.051,77.0,194.0,0.9976,3.05,0.5,8.7,0.0,4.9929315469381255
6.1,0.16,0.3,5.1,0.064,63.0,162.0,0.9969,3.66,0.4,8.0,0.0,4.71166808728334
9.0,0.46,0.2,2.8,0.092,28.0,104.0,0.9983,3.1,0.6,9.2,0.0,4.241754342732387
6.7,0.41,0.0,2.8,0.048,39.0,137.0,0.9942,3.24,0.3,9.5,0.0,4.931472980426422
10.0,0.91,0.4,1.6,0.056,34.0,181.0,0.9968,3.11,0.5,10.0,0.0,3.9972218248758717
9.8,1.24,0.3,2.0,0.079,32.0,151.0,0.998,3.15,0.5,9.5,0.0,3.1235421962021825
7.8,0.55,0.3,2.2,0.074,21.0,66.0,0.9974,3.25,0.6,9.2,1.0,4.9982345297117
7.3,0.49,0.3,5.2,0.043,18.0,104.0,0.9952,3.24,0.4,10.7,0.0,4.6516435608345175
8.3,0.62,0.3,0.6,0.069,27.0,119.0,0.9871,3.29,0.5,8.0,0.0,4.796797469005882
7.3,0.69,0.3,2.2,0.069,35.0,104.0,0.9963,3.33,0.5,9.5,0.0,4.785557272341561
7.6,0.56,0.1,10.4,0.096,22.0,177.0,0.9983,3.32,0.4,9.1,0.0,4.012085942494741
6.0,0.27,0.3,4.8,0.063,31.0,201.0,0.9964,3.69,0.7,10.0,0.0,4.853129628989564
7.2,0.46,0.6,10.4,0.05,76.0,192.0,0.9976,3.16,0.4,8.7,0.0,4.945810992953486
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.5,9.4,0.0,4.82838497807807
8.1,0.73,0.2,2.2,0.072,11.0,41.0,0.9967,3.36,0.6,9.1,1.0,4.856172958156723
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
7.2,0.4,0.6,10.8,0.041,70.0,189.0,0.9976,3.08,0.5,8.6,0.0,4.965901260187241
6.9,0.26,0.5,1.5,0.009,25.0,166.0,0.9871,2.72,1.0,8.0,0.0,4.719260549839372
8.6,0.63,0.2,2.9,0.099,21.0,119.0,0.998,3.09,0.5,9.3,0.0,3.8139307964630116
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.7,9.8,1.0,4.982519674170211
9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.4,9.2,0.0,4.96140212359859
3.8,0.16,0.0,2.8,0.009,1.0,6.0,0.9969,3.42,0.4,8.9,0.0,4.704867962533862
7.0,0.65,0.2,2.1,0.074,8.0,25.0,0.9961,3.37,0.6,9.7,1.0,4.939337626324042
7.3,0.69,0.3,2.2,0.069,35.0,104.0,0.9963,3.33,0.5,9.5,0.0,4.785557272341561
12.3,0.39,0.6,2.3,0.091,6.0,18.0,1.0004,3.16,0.5,9.5,1.0,4.881987323302669
7.7,0.54,0.3,1.9,0.089,23.0,147.0,0.9964,3.26,0.6,9.7,0.0,4.787953332116732
7.9,0.6,0.1,1.6,0.069,15.0,59.0,0.9964,3.3,0.5,9.4,1.0,4.942627392762439
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
7.8,0.57,0.3,1.8,0.069,26.0,120.0,0.9962,3.29,0.5,9.3,0.0,4.789351573733834
6.9,0.44,0.2,11.8,0.051,26.0,126.0,0.9975,3.23,0.5,9.1,0.0,4.979830952205071
7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.9977,3.44,0.5,9.4,1.0,4.879609046114336
10.7,0.9,0.3,6.6,0.112,23.0,99.0,1.0029,3.22,0.7,9.3,1.0,4.912090408863137
6.6,0.32,0.2,1.3,0.06,42.5,204.0,0.9951,3.59,0.5,9.2,0.0,4.984774428514364
8.4,0.56,0.0,2.0,0.082,10.0,22.0,0.9976,3.22,0.4,9.6,1.0,4.963171499830221
9.9,1.0,0.5,1.4,0.046,34.0,185.0,0.9966,3.02,0.5,10.2,0.0,3.911080899162054
6.8,0.67,0.0,1.8,0.05,5.0,11.0,0.9962,3.48,0.5,9.5,1.0,4.484737976332648
8.1,0.59,0.7,2.2,0.074,24.0,120.0,0.9972,2.72,0.5,9.0,0.0,4.094371920396829
6.4,0.37,0.5,13.3,0.045,53.0,243.0,0.9982,3.14,0.5,8.5,0.0,4.952123167534516
6.8,0.44,0.2,16.0,0.065,61.0,186.0,0.9988,3.13,0.4,8.6,0.0,4.915616008665086
7.2,0.62,0.1,2.5,0.078,17.0,84.0,0.9975,3.51,0.5,9.7,1.0,4.995342464890467
7.2,0.4,0.6,10.8,0.041,70.0,189.0,0.9976,3.08,0.5,8.6,0.0,4.965901260187241
8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,3.08,0.5,9.0,0.0,3.6776431000517444
6.0,0.59,0.0,0.8,0.037,30.0,95.0,0.9903,3.1,0.4,10.9,0.0,4.901435294203962
9.2,0.92,0.2,2.6,0.087,12.0,93.0,0.9998,3.48,0.5,9.8,0.0,3.049703045818545
6.9,0.26,0.5,1.6,0.058,39.0,166.0,0.9965,3.65,0.5,9.4,0.0,4.800786283540283
7.8,0.53,0.3,2.4,0.08,24.0,144.0,0.9966,3.3,0.6,9.5,0.0,4.873626194685674
8.9,0.6,0.4,7.9,0.086,30.0,109.0,0.9998,3.27,0.6,9.3,0.0,4.315090631502236
11.8,0.23,0.4,11.1,0.034,15.0,123.0,0.9997,2.93,0.6,9.7,0.0,3.068668223587578
6.8,0.64,0.1,9.7,0.062,26.0,142.0,0.9972,3.37,0.5,8.9,0.0,4.197820932993305
9.2,0.53,0.2,2.6,0.078,28.0,139.0,0.9979,3.21,0.6,9.5,0.0,4.188577037232282
3.8,0.57,0.3,0.6,0.069,27.0,120.0,0.9871,2.72,0.2,9.1,0.0,4.983493480260209
3.8,0.4,0.5,0.6,0.108,15.0,143.0,0.9938,3.07,0.4,9.3,0.0,4.832307041544837
7.8,0.53,0.3,2.4,0.08,26.0,142.0,0.9966,2.72,0.6,8.9,0.0,4.542335367021681
7.9,0.88,0.0,1.8,0.058,4.0,8.0,0.9972,3.36,0.3,9.1,1.0,4.020367683011788
9.5,0.59,0.4,2.3,0.071,21.0,68.0,0.9992,3.46,0.6,9.5,1.0,4.930343075620522
6.6,0.89,0.0,2.3,0.068,7.0,13.0,0.9958,3.53,0.6,10.8,1.0,4.848783641243956
6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.4,9.4,0.0,4.499866222920813
8.0,0.42,0.3,2.5,0.08,26.0,122.0,0.998,3.22,1.1,9.7,0.0,4.462287674521084
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.5,9.4,0.0,4.82838497807807
6.4,0.37,0.2,3.5,0.068,18.0,101.0,0.9934,3.03,0.4,9.0,0.0,4.959648822541438
3.8,0.42,0.0,1.8,0.069,26.0,122.0,0.9871,3.29,0.2,8.0,0.0,4.756979813249149
7.0,0.48,0.1,4.5,0.05,23.0,86.0,0.994,2.86,0.3,9.0,0.0,4.93860018130365
7.2,0.62,0.1,1.4,0.068,25.0,154.0,0.995,3.2,0.5,9.7,0.0,4.8272359869924735
7.9,0.69,0.2,2.1,0.08,33.0,141.0,0.9962,3.25,0.5,9.9,0.0,4.757852424374082
6.3,0.33,0.0,0.6,0.066,36.0,161.0,0.9871,3.14,0.2,8.0,0.0,4.3838408708455034
5.6,0.69,0.1,6.8,0.042,9.0,84.0,0.9943,3.44,0.4,10.2,0.0,4.793150096655492
7.1,0.68,0.1,1.9,0.075,16.0,51.0,0.9969,3.38,0.5,9.5,1.0,4.922354592661747
7.0,0.53,0.0,1.0,0.036,39.0,107.0,0.993,3.2,0.3,9.0,0.0,4.599216366499869
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
7.8,0.91,0.1,1.9,0.058,22.0,47.0,0.9952,3.51,0.4,10.7,1.0,4.892464140547772
7.2,0.55,0.1,1.5,0.108,16.0,151.0,0.9938,3.07,0.6,9.2,0.0,4.466328206820231
7.1,0.34,0.2,1.2,0.053,61.0,183.0,0.9936,3.09,0.4,9.2,0.0,4.965989842568235
7.2,0.5,0.0,0.8,0.034,46.0,114.0,0.9932,3.19,0.3,9.2,0.0,4.729450693640684
6.9,0.26,0.5,1.6,0.058,39.0,166.0,0.9965,3.65,0.5,9.4,0.0,4.800786283540283
7.9,0.52,0.3,1.9,0.079,42.0,140.0,0.9964,3.23,0.5,9.5,1.0,4.929613339124559
6.8,0.63,0.0,1.3,0.058,25.0,133.0,0.9927,3.17,0.4,10.2,0.0,4.927900164716858
6.4,0.61,0.2,13.3,0.045,53.0,240.0,0.9982,3.11,0.6,8.5,0.0,4.875992569791463
6.0,0.59,0.0,0.8,0.037,30.0,95.0,0.9903,3.1,0.4,10.9,0.0,4.901435294203962
6.9,0.44,0.2,11.8,0.051,26.0,126.0,0.9975,3.23,0.5,9.1,0.0,4.979830952205071
6.6,0.32,0.2,1.3,0.06,42.5,204.0,0.9951,3.59,0.5,9.2,0.0,4.984774428514364
7.2,0.51,0.2,10.0,0.093,35.0,197.0,0.9981,3.41,0.5,9.0,0.0,4.924638673050702
8.3,0.4,0.4,1.1,0.038,15.0,75.0,0.9934,3.03,0.4,9.2,0.0,4.7720735360589
8.9,0.34,0.3,1.3,0.041,12.0,188.0,0.9953,3.17,0.5,9.5,0.0,4.990925815065508
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.5,10.0,1.0,4.90949337031781
7.3,0.49,0.3,5.2,0.043,18.0,104.0,0.9952,3.24,0.4,10.7,0.0,4.6516435608345175
8.9,0.48,0.2,2.8,0.094,35.0,106.0,0.9982,3.1,0.5,9.2,0.0,4.400679354409871
8.0,0.74,0.2,4.0,0.05,24.0,133.0,0.9942,3.06,0.4,9.7,0.0,4.8868772032823955
7.0,0.48,0.1,4.5,0.05,23.0,79.0,0.994,3.31,0.3,9.4,0.0,4.962384997254447
8.1,0.36,0.6,13.6,0.051,60.0,134.0,0.9989,2.96,0.4,8.7,0.0,4.947514414881889
9.4,0.69,0.3,2.4,0.082,23.0,143.0,0.9978,3.28,0.6,9.4,0.0,3.5531364063953377
6.6,0.73,0.1,5.5,0.117,9.0,17.0,0.9966,3.35,0.5,10.8,1.0,4.94883007016318
3.8,0.26,0.5,1.4,0.068,25.0,166.0,0.9965,3.65,0.5,9.7,0.0,4.263170469252294
7.2,0.5,0.0,0.8,0.034,46.0,114.0,0.9932,3.19,0.3,9.2,0.0,4.729450693640684
7.5,0.42,0.1,10.7,0.046,18.0,95.0,0.9959,3.22,0.3,10.7,0.0,4.865726904659529
7.1,0.63,0.1,2.0,0.083,8.0,29.0,0.9985,3.67,0.7,9.6,1.0,4.963465962240854
8.5,0.66,0.2,2.1,0.097,23.0,113.0,0.9973,3.13,0.5,9.2,0.0,3.774653123807602
6.8,0.64,0.1,9.7,0.062,26.0,142.0,0.9972,3.37,0.5,8.9,0.0,4.197820932993305
7.8,0.59,0.2,2.0,0.074,1.0,120.0,0.9972,2.72,0.5,9.1,0.0,3.798589850539541
7.1,0.34,0.2,1.2,0.053,61.0,183.0,0.9936,3.09,0.4,9.2,0.0,4.965989842568235
7.2,0.63,0.1,2.6,0.077,16.0,86.0,0.9975,3.51,0.5,9.7,1.0,4.989787595828638
9.5,0.88,0.3,2.3,0.084,31.0,145.0,0.9978,3.24,0.5,9.4,0.0,3.3182581929761894
6.1,0.16,0.3,12.6,0.064,63.0,162.0,0.9994,3.66,0.4,8.9,0.0,4.9312883621829195
7.4,0.39,0.5,2.0,0.082,14.0,67.0,0.9972,3.34,0.6,9.2,1.0,4.900455339277436
6.8,0.57,0.3,2.2,0.04,15.0,77.0,0.9938,3.32,0.7,10.2,0.0,4.962769064575433
9.8,0.98,0.3,2.3,0.078,35.0,152.0,0.998,3.25,0.5,9.4,0.0,3.1853438897784083
8.6,0.52,0.4,1.5,0.096,5.0,18.0,0.9967,3.2,0.5,9.4,1.0,4.85869229401319
7.0,0.57,0.1,8.3,0.094,23.0,188.0,0.9972,3.4,0.5,9.2,0.0,4.151430264011794
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.5,9.4,0.0,4.82838497807807
7.1,0.37,0.1,1.2,0.055,24.0,84.0,0.9941,3.15,0.4,8.9,0.0,4.8627859860115334
8.6,0.33,0.4,2.6,0.083,16.0,68.0,0.9978,3.3,0.5,9.4,0.0,4.915107682378145
6.8,0.63,0.0,1.3,0.058,25.0,133.0,0.9927,3.17,0.4,10.2,0.0,4.927900164716858
7.3,0.69,0.3,2.2,0.069,35.0,104.0,0.9963,3.33,0.5,9.5,0.0,4.785557272341561
6.8,0.6,0.2,1.9,0.079,18.0,86.0,0.9968,3.59,0.6,9.3,0.0,4.170746448919644
6.1,0.26,0.3,0.6,0.058,63.0,162.0,0.9965,2.72,0.4,8.9,0.0,4.993484544752389
8.9,0.3,0.2,2.8,0.009,1.0,106.0,0.9956,3.1,0.5,9.2,0.0,4.520002064165988
9.8,1.24,0.3,2.0,0.079,32.0,151.0,0.998,3.15,0.5,9.5,0.0,3.1235421962021825
7.9,0.19,0.3,2.1,0.039,8.0,143.0,0.9942,3.05,0.7,9.8,0.0,4.967928266813965
5.3,0.76,0.0,2.7,0.043,27.0,93.0,0.9932,3.34,0.4,9.2,0.0,4.734188613010729
7.2,0.62,0.1,2.7,0.077,15.0,85.0,0.9975,3.51,0.5,9.5,0.0,3.700951427001332
7.0,0.78,0.1,2.0,0.093,10.0,19.0,0.9956,3.4,0.5,10.0,1.0,4.742031424144689
7.1,0.71,0.0,2.3,0.071,21.0,47.0,0.9963,3.29,0.4,9.4,1.0,4.799501453491597
9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.4,9.2,0.0,4.96140212359859
6.4,0.57,0.1,3.9,0.07,27.0,73.0,0.9967,3.32,0.5,9.2,1.0,4.9460954859104485
7.6,0.49,0.3,1.9,0.074,27.0,85.0,0.9971,3.41,0.6,9.0,1.0,4.970187123877348
7.1,0.34,0.2,1.2,0.053,61.0,183.0,0.9936,3.09,0.4,9.2,0.0,4.965989842568235
6.3,0.38,0.2,8.8,0.08,50.0,212.0,0.998,3.47,0.7,9.4,0.0,4.8892245138651145
6.3,0.33,0.2,17.9,0.066,36.0,161.0,0.9991,3.14,0.5,8.8,0.0,4.99898075928994
7.5,0.58,0.2,2.0,0.073,34.0,44.0,0.9949,3.1,0.4,9.3,1.0,4.967064484740999
6.1,0.16,0.3,12.6,0.064,63.0,162.0,0.9994,3.66,0.4,8.9,0.0,4.9312883621829195
8.4,0.59,0.3,2.6,0.109,31.0,119.0,0.998,3.15,0.5,9.1,0.0,4.1716656386878785
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.5,10.0,1.0,4.90949337031781
6.8,0.64,0.1,9.7,0.062,26.0,142.0,0.9972,3.37,0.5,8.9,0.0,4.197820932993305
7.4,0.29,0.5,12.8,0.037,61.5,182.0,0.9981,3.02,0.3,8.8,0.0,4.979146634859796
7.9,0.5,0.3,2.0,0.084,15.0,143.0,0.9968,3.2,0.6,9.5,0.0,4.63462349058766
6.9,0.32,0.2,8.1,0.046,51.0,180.0,0.9958,3.13,0.4,8.9,0.0,4.997997229976516
8.9,0.6,0.4,7.9,0.086,30.0,109.0,0.9998,3.27,0.6,9.3,0.0,4.315090631502236
8.6,0.47,0.5,2.4,0.074,7.0,29.0,0.9979,3.08,0.5,9.5,1.0,4.8747057087854815
7.9,0.49,0.3,1.9,0.082,17.0,144.0,0.9968,3.2,0.6,9.5,0.0,4.713631851196214
5.9,0.54,0.0,0.8,0.032,12.0,82.0,0.9929,3.25,0.4,8.8,0.0,4.453698624051349
8.0,0.42,0.3,2.5,0.08,26.0,122.0,0.998,3.22,1.1,9.7,0.0,4.462287674521084
9.2,0.22,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.5,9.3,0.0,4.986654183226775
8.6,0.31,0.3,0.9,0.045,16.0,109.0,0.9925,2.95,0.4,10.1,0.0,4.896980745049666
7.2,0.55,0.1,1.5,0.108,16.0,151.0,0.9938,3.07,0.6,9.2,0.0,4.466328206820231
8.8,0.37,0.5,2.1,0.097,39.0,145.0,0.9975,3.04,1.0,9.3,0.0,3.3612725961996537
10.5,0.59,0.5,2.1,0.07,14.0,47.0,0.9991,3.3,0.6,9.6,1.0,4.529779193989793
7.1,0.64,0.5,1.8,0.05,17.0,128.0,0.9946,3.31,0.6,10.6,0.0,4.240381111043811
7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.9949,3.1,0.4,9.3,1.0,4.912345805087529
6.6,0.32,0.2,1.3,0.06,42.5,204.0,0.9951,3.59,0.5,9.2,0.0,4.984774428514364
7.2,0.4,0.6,10.8,0.041,70.0,189.0,0.9976,3.08,0.5,8.6,0.0,4.965901260187241
7.2,0.58,0.2,10.4,0.086,17.0,94.0,0.9968,3.13,0.4,9.4,0.0,4.718340100988257
7.6,0.56,0.1,10.4,0.096,22.0,177.0,0.9983,3.32,0.4,9.1,0.0,4.012085942494741
8.0,1.18,0.2,1.9,0.083,14.0,41.0,0.9953,3.34,0.5,10.5,1.0,4.836136748597591
8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.5,9.4,0.0,4.82838497807807
6.7,0.76,0.0,1.8,0.078,6.0,12.0,0.996,3.55,0.6,9.9,1.0,4.691664368838335
7.9,0.52,0.2,2.1,0.009,42.0,6.0,0.9962,2.72,0.5,8.0,0.0,4.226813894742048
9.8,0.88,0.2,2.5,0.104,35.0,155.0,1.001,3.41,0.7,11.2,0.0,3.4213794582868524
6.7,0.41,0.0,2.8,0.048,39.0,137.0,0.9942,3.24,0.3,9.5,0.0,4.931472980426422
10.5,0.59,0.5,2.1,0.07,14.0,47.0,0.9991,3.3,0.6,9.6,1.0,4.529779193989793
8.2,0.22,0.5,9.6,0.037,53.0,154.0,0.9951,3.02,0.3,10.6,0.0,5.755024715815725
10.0,0.32,0.6,2.2,0.077,3.0,15.0,0.9994,3.2,0.8,9.6,1.0,5.51812175357457
9.9,0.59,0.1,3.4,0.102,32.0,71.0,1.0001,3.31,0.7,9.8,1.0,5.299247655083826
7.5,0.57,0.0,2.6,0.077,11.0,35.0,0.9956,3.36,0.6,10.8,1.0,5.770292337968334
5.7,0.46,0.5,1.4,0.04,31.0,169.0,0.9932,3.13,0.5,8.8,0.0,5.170387403906286
6.0,0.38,0.1,0.6,0.009,36.0,89.0,0.9914,2.72,0.5,10.6,0.0,5.2077685655112536
6.8,0.22,0.3,10.6,0.07,67.0,194.0,0.9965,2.89,0.4,9.0,0.0,5.625816791951136
6.6,0.3,0.3,4.8,0.17,60.0,166.0,0.9946,3.18,0.5,9.4,0.0,5.380130637751224
7.0,0.19,0.2,5.7,0.123,27.0,104.0,0.9954,3.04,0.5,9.4,0.0,5.653915968435716
5.8,0.19,0.2,1.3,0.044,38.0,128.0,0.9936,3.77,0.6,10.6,0.0,5.87104998670492
7.4,0.18,0.3,1.4,0.058,38.0,167.0,0.9931,3.16,0.5,10.0,0.0,5.729015897293337
7.2,0.4,0.2,8.5,0.055,45.0,151.0,0.9963,3.2,0.5,9.2,0.0,5.132262690231439
7.6,0.54,0.1,2.5,0.097,24.0,66.0,0.9979,3.39,0.6,9.4,1.0,5.227658449392336
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.5,9.7,0.0,5.3760288913423295
6.1,0.33,0.2,1.6,0.009,25.0,121.0,0.9923,3.36,0.5,9.3,0.0,5.81836149736169
6.9,0.2,0.4,1.1,0.06,36.0,104.0,0.9932,2.99,0.4,9.2,0.0,5.492394509541484
7.5,0.24,0.3,13.1,0.05,26.0,180.0,0.9988,3.05,0.5,9.1,0.0,5.864449707956897
7.4,0.31,0.3,8.6,0.048,47.0,206.0,0.9964,3.26,0.4,9.1,0.0,5.161618495355169
7.2,0.39,0.6,11.0,0.047,66.0,178.0,0.9976,3.16,0.5,8.7,0.0,5.0486816761774085
6.0,0.25,0.3,7.7,0.053,37.0,132.0,0.9949,3.06,0.5,9.4,0.0,5.467529345239976
8.3,0.6,0.2,2.2,0.118,9.0,38.0,0.9962,3.15,0.5,9.8,1.0,5.128062902612672
7.3,0.3,0.2,6.4,0.056,44.0,168.0,0.9947,3.13,0.3,10.1,0.0,5.327675272179315
7.7,0.32,0.6,11.8,0.041,66.0,188.0,0.9979,3.0,0.5,9.3,0.0,5.23913363921999
6.9,0.25,0.3,1.2,0.035,35.0,158.0,0.9908,3.02,0.6,11.3,0.0,5.881300397327623
6.3,0.18,0.2,3.4,0.053,20.0,119.0,0.9937,3.11,0.5,9.2,0.0,5.386843051426831
7.2,0.24,0.2,7.7,0.045,53.0,176.0,0.9958,3.17,0.4,9.5,0.0,5.379162111264797
10.6,0.5,0.4,2.6,0.119,34.0,68.0,0.9971,3.23,0.7,10.9,1.0,5.62348611558686
7.4,0.38,0.3,7.5,0.041,24.0,160.0,0.9954,3.17,0.4,10.0,0.0,5.311504227737276
7.5,0.17,0.7,11.8,0.038,52.0,148.0,0.998,3.03,0.5,8.9,0.0,5.3465483142357995
7.0,0.65,0.0,2.1,0.066,8.0,25.0,0.9972,3.47,0.7,9.5,1.0,5.203976897837497
6.8,0.18,0.2,5.4,0.053,34.0,104.0,0.9944,3.3,0.4,9.4,0.0,5.8165954202247265
11.3,0.37,0.4,2.3,0.088,6.0,16.0,0.9988,3.09,0.8,9.3,1.0,5.569095236775596
7.7,0.28,0.3,4.3,0.051,25.0,142.0,0.9939,3.16,0.4,10.2,0.0,5.488296460343513
6.1,0.32,0.2,2.3,0.071,23.0,58.0,0.9963,3.42,1.0,10.6,1.0,5.580835969831876
6.3,0.32,0.3,12.0,0.049,63.0,170.0,0.9961,3.14,0.6,9.9,0.0,5.437152973699257
6.9,0.3,0.2,3.3,0.041,26.0,124.0,0.9943,3.18,0.5,9.3,0.0,5.357192296733542
6.6,0.56,0.2,8.9,0.034,27.0,133.0,0.9967,3.2,0.5,9.1,0.0,5.180880023837016
7.7,0.69,0.1,2.7,0.075,15.0,27.0,0.9974,3.26,0.6,9.1,1.0,5.019993888340929
8.5,0.21,0.4,4.3,0.036,24.0,99.0,0.9947,3.18,0.5,9.7,1.0,5.605332623300052
6.6,0.32,0.3,2.5,0.052,40.0,219.5,0.9932,3.15,0.6,10.0,0.0,5.132209975900236
10.1,0.45,0.2,1.9,0.082,10.0,18.0,0.9977,3.22,0.6,9.3,1.0,5.31133838644025
6.8,0.26,0.4,7.5,0.046,45.0,179.0,0.9958,3.2,0.5,9.3,0.0,5.361050559988208
3.8,0.66,0.0,2.2,0.009,3.0,11.0,0.9938,3.71,0.6,12.8,1.0,5.579407116079803
6.2,0.22,0.3,2.2,0.04,24.0,125.0,0.9917,3.19,0.5,10.5,0.0,5.770600045786495
6.8,0.24,0.5,19.3,0.057,55.0,247.0,1.0006,3.0,0.6,8.7,0.0,5.356859427607538
7.3,0.26,0.5,12.7,0.047,60.5,164.5,0.9984,3.06,0.4,9.1,0.0,5.304520865612075
7.2,0.63,0.0,2.2,0.08,17.0,88.0,0.9974,3.53,0.6,9.8,1.0,5.115479944134122
6.6,0.25,0.5,8.0,0.047,61.0,189.0,0.996,3.22,0.5,9.2,0.0,5.336111229713053
6.5,0.31,0.1,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,0.0,5.269879583501043
7.1,0.34,0.9,1.4,0.174,36.0,99.0,0.9929,2.92,0.5,9.3,0.0,5.50598582068515
7.4,0.37,0.3,5.7,0.061,12.0,94.0,0.9965,3.48,0.7,10.7,0.0,5.064173181565097
7.1,0.12,0.3,9.6,0.054,64.0,162.0,0.9962,3.4,0.4,9.4,0.0,5.844731391701797
6.3,0.33,0.2,5.8,0.04,24.0,144.0,0.9942,3.15,0.6,9.9,0.0,5.332299322501819
7.6,0.16,0.4,1.4,0.043,25.0,109.0,0.9932,3.11,0.8,10.3,0.0,5.882930749140079
6.8,0.27,0.2,17.8,0.034,16.0,116.0,0.9989,3.07,0.5,9.2,0.0,5.426425059574934
8.0,0.36,0.4,10.1,0.053,29.0,146.0,0.9982,3.4,0.5,9.5,0.0,5.548809952312219
6.7,0.23,0.2,1.6,0.036,28.0,143.0,0.9926,3.3,0.5,10.3,0.0,5.882854217575459
7.4,0.29,0.2,3.8,0.044,30.0,114.0,0.992,3.11,0.4,11.0,0.0,5.924066534292686
7.9,0.2,0.5,1.6,0.053,15.0,144.0,0.993,3.16,0.5,10.5,0.0,5.716187480799481
7.6,0.36,0.4,8.3,0.255,28.0,142.0,0.9958,3.12,0.4,10.2,0.0,5.5507659744061355
8.9,0.24,0.4,1.6,0.074,3.0,10.0,0.997,3.12,0.6,9.5,1.0,5.604613745845937
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.6,11.1,1.0,5.579893530968076
6.9,0.74,0.0,2.3,0.054,7.0,16.0,0.9951,3.45,0.6,11.5,1.0,5.376015592296026
8.1,0.28,0.4,1.9,0.029,18.0,79.0,0.9923,3.23,0.5,11.8,0.0,5.748864738752826
8.0,0.3,0.3,5.7,0.044,31.0,124.0,0.9948,3.16,0.5,10.2,0.0,5.522809464491788
7.8,0.3,0.3,16.9,0.054,23.0,135.0,0.9998,3.16,0.4,9.0,0.0,5.237689445390092
3.8,0.08,0.2,5.0,0.042,19.0,101.0,0.9944,3.31,0.6,9.3,0.0,5.699572975026456
7.0,0.27,0.7,1.5,0.036,27.0,122.0,0.9926,3.35,0.5,11.2,0.0,5.753798618988423
6.6,0.43,0.2,2.3,0.034,23.0,87.0,0.9908,3.05,0.4,11.4,0.0,5.866875541499779
6.7,0.23,0.3,1.4,0.06,33.0,154.0,0.9934,3.24,0.6,9.5,0.0,5.407517962945654
5.3,0.58,0.1,6.9,0.043,34.0,149.0,0.9944,3.34,0.6,9.7,0.0,5.625374271511706
6.2,0.2,0.3,1.7,0.093,40.0,161.0,0.9924,3.44,0.7,11.0,0.0,5.810159886045644
5.5,0.18,0.2,5.5,0.037,10.0,86.0,0.9916,3.46,0.4,12.2,0.0,5.942059769893477
6.8,0.5,0.1,1.5,0.075,16.0,49.0,0.9955,3.36,0.8,9.5,1.0,5.212840670703954
3.8,0.28,0.3,1.5,0.045,1.0,117.0,0.9939,3.42,0.5,9.0,0.0,5.078381712037634
6.7,0.16,0.5,2.4,0.046,57.0,187.0,0.9952,3.62,0.8,10.4,0.0,5.85817318346596
7.1,0.59,0.0,2.3,0.08,27.0,43.0,0.9955,3.42,0.6,10.7,1.0,5.689103593008358
6.9,0.38,0.3,6.2,0.009,22.0,164.0,0.996,3.24,0.4,10.6,0.0,5.653395567265476
6.6,0.3,0.4,7.1,0.047,54.0,201.0,0.9952,3.18,0.5,9.5,0.0,5.36738828869627
7.2,0.23,0.8,1.3,0.149,70.0,109.0,0.993,2.93,0.4,9.2,0.0,5.796221924366541
8.1,0.26,0.3,11.1,0.052,52.5,158.0,0.9976,3.03,0.5,10.2,0.0,5.909706286709681
6.5,0.18,0.3,1.4,0.041,40.0,141.0,0.9941,3.34,0.7,9.5,1.0,5.180428815357583
3.8,0.26,0.2,1.5,0.009,34.0,132.0,0.9916,3.11,0.6,9.8,0.0,5.28846264456959
8.0,0.25,0.3,14.0,0.043,41.0,248.0,0.9986,3.03,0.6,8.7,0.0,5.921723499346593
